cell_line_name,alpha,beta,SF2,R2,AUC
NCI-H1838,0.235128535599518,0.0,0.480767607,0.6755973,2.95677672745829
NCI-H23,0.47676487980644,0.0,0.159221102,0.7203608,1.28425594096825
SK-N-BE(2),0.334445708645268,0.0,0.337872442,0.9251097,2.0345763775304
JHH-4,0.27906719191655,0.0095603441368623,0.684841851,0.9753028,2.11008445531135
HT-144,0.303094420789317,0.0,0.211335556,-0.1257476,2.27737389261656
CL-11,0.3524955221735,0.0,0.47243655,0.9853921,1.91060183419573
NCI-H1944,0.310312755238025,0.0,0.399923065,0.9205166,2.21811402317778
Hs 766T,0.0685263833867535,0.0,0.874086688,0.6491399,6.27220570398198
HCC-1195,0.428284814930131,0.0,0.52661219,0.9808601,1.48924846542749
RD,0.38559505725238,0.0012058026211988,0.529504908,0.9948034,1.67862930329279
SNU-398,0.289497354567921,0.0,0.619819943,0.9001986,2.39497623875207
JHUEM-1,0.398082056468674,0.0,0.341671745,0.7538225,1.6402060636698
ESS-1,0.481717984357163,0.0029733703349848,0.507200561,0.9653921,1.22257867550498
NCI-H2286,0.340107265666398,0.0,0.333704216,0.9422774,1.99453688799487
SNU-449,0.151676974868249,0.0173798760074029,0.680876225,0.9857379,2.90053429363898
GAMG,0.0,0.0267153271666439,0.986785269,0.9607562,4.3180936679786
SNU-216,0.367751462852443,0.0,0.552261728,0.9767076,1.81373439947533
YD-10B,0.0,0.0231217419252591,1.023660128,0.9832264,4.65148870179448
OVKATE,0.612778350119629,0.0,0.14882182,0.7491533,0.880680485041329
WM-983B,0.241178531155062,0.0,0.666437757,0.951999,2.88602077898236
RKO,0.209815802434229,0.0221718048602847,0.802507538,0.9185974,2.20506973814908
COLO-679,0.106203487679416,0.0,0.684572589,0.7285238,5.21160015279643
WM-88,0.18907744751377,0.0,0.408535624,0.02434324,3.57931395466421
H4,0.34130444196903,0.0024902418729492,0.820865321,0.9500989,1.90778442590329
Ishikawa (Heraklio) 02 ER-,0.639683437676843,0.0,0.357733755,0.9643611,0.821957416654247
OVSAHO,0.151988415456567,0.00319353215158,0.781102618,0.9950409,3.88416849252093
KYSE-410,0.0167453339440501,0.0225764891545371,0.88229153,0.9902827,4.39596906844607
COLO-783,0.280379350265295,0.0,0.461886352,0.9429755,2.47848948905306
SNU-761,0.0578889492700373,0.0112356600215426,0.80986881,0.985659,4.79680594529002
SW837,0.0726418987383424,0.000968501090559,0.920793815,0.9422478,5.94624262442381
KNS-42,0.148479361578083,0.0,0.722236314,0.9466898,4.27984535298765
OVCAR-8,0.18990945316428,0.0368130655444643,0.66060661,0.982983,1.95194048211487
NCI-H1435,0.152823865757406,0.0,0.716796418,0.9402374,4.19674951369683
MCAS,0.199170857368974,0.0353240253000411,0.547937277,0.9962831,1.93170580809285
NCI-H2228,0.22046535281591,0.0109107454408119,0.536131961,0.9683474,2.532030021562
G-401,0.702386315704063,0.0,0.261139355,0.9828215,0.704044650414767
NCI-H226,0.157198124066864,0.0167096265815444,0.657741388,0.9808391,2.87651121512347
Panc 08.13,0.243859550625937,0.0,0.596688826,0.9881884,2.85539084367163
RH-18,0.383937145038334,0.0,0.490878698,0.9860119,1.71816437704221
M059K,0.0995176223385712,0.0150872030860029,0.847921654,0.9821877,3.66832753035239
KLE,0.213588897149482,0.0,0.430579413,0.7406585,3.22835524067502
NCI-N87,0.442263673541599,0.0,0.515792015,0.9793274,1.42579568807824
ONCO-DG-1,0.240127519134094,0.0040256370072308,0.584473386,0.9887948,2.67041750858265
HCC1569,0.186434150632717,0.0,0.606137683,0.885958,3.62012520491707
BxPC-3,0.384716366778971,0.0014135482781213,0.46773508,0.9814417,1.67836737224596
NCI-H1755,0.15432400630935,0.0074015768617997,0.73825672,0.9792035,3.48945605427267
Hep 3B2.1-7,0.259898749076956,0.0,0.649489176,0.9626753,2.68097035069631
42-MG-BA,0.136307517065977,0.0266224655381826,0.758304282,0.9924754,2.63607179273587
RMUG-S,0.123560622160107,0.0,0.849395534,0.9423723,4.80015030548473
SNU-1196,0.357933683858904,0.0,0.466457036,0.9964812,1.87527823216386
BT-474,0.0630633660145048,0.0,0.863356967,0.8915044,6.44795193240864
SK-HEP-1,0.37520796706251,0.0,0.536735394,0.9937573,1.76882564035927
TCCSUP,0.207085555190835,0.0010771828749334,0.734160013,0.787445,3.23619379019253
L3.3,0.0261031852629591,0.026648305078107,0.802621029,0.9666698,3.90899969674031
Hs 683,0.0,0.0218270261042125,1.152966439,0.9347176,4.78009509103412
SH-10-TC,0.0682618036198754,0.0283785995291399,0.76067503,0.9841791,3.24562629743352
NCI-H1563,0.142742468924057,0.0,0.496804223,0.6261433,4.39288536293267
EFO-21,0.198898867726412,0.0,0.724292871,0.9369634,3.43289557003607
ACC-MESO-1,0.17463178899976,0.0153220561612264,0.644172831,0.9877326,2.76666005279304
NCI-H1651,0.421242163608926,0.0,0.339500295,0.9510903,1.52268875942853
K029AX,0.130346487967384,0.0114554069675813,0.729262726,0.9957984,3.5239106799928
SK-MEL-2,0.335381513070334,0.0108650594642804,0.293120491,0.9499745,1.72334007674827
SU.86.86,0.333167697641771,0.0,0.497908052,0.9914794,2.04376617903309
Hs 294T,0.320418808382469,0.0,0.356444093,0.7950768,2.13861708513839
SNU-1033,0.0984428006950291,0.0,1.049636098,0.8936634,5.40028693119927
JHUEM-3,0.121402710144454,0.0033043035370213,0.793636411,0.9949676,4.43109503612836
TE 617.T,0.496798847120568,0.0,0.281790488,0.936783,1.21078831629202
ECC12,0.288485162182456,0.0237745337360439,0.482730984,0.9810648,1.69405601881147
RH-30,0.466597594216667,0.0144650006346798,0.460528199,0.9851127,1.13192049244505
CW-2,0.299587222217437,0.0,0.247608064,0.3174835,2.30694443151165
IA-LM,0.156696814147913,0.0,0.5074404,0.3701734,4.12443821989239
SNU-119,0.254712882153213,0.0,0.372250688,0.8167463,2.73575816748424
LN-18,0.258846729737429,0.0313168836649895,0.619916552,0.9843118,1.69748690203975
HCC-95,0.0,0.0360494760977214,0.800965442,0.98742,3.64553678631713
BT-549,0.221260093915009,0.0188805817007482,0.612316563,0.9849683,2.22597175070292
HCC-1833,0.150651595712327,0.0,0.590130564,0.9218593,4.238032410749
NCI-H1048,0.585333537996551,0.0,0.269053751,0.9545036,0.946553941055553
SK-MEL-28,0.0062364469140867,0.0103078025077334,1.023921177,0.9222833,6.21176893666806
HCT-15,0.658506023981206,0.0087031092938283,0.163716934,0.9473555,0.732381818803699
TE-6,0.104622911172059,0.0288416317850819,0.628535699,0.994087,2.83803927201991
HCC1428,0.169525886002315,0.0,0.450187541,0.3068434,3.89623798246716
KYSE-140,0.218050066899827,0.0107487798451203,0.747648473,0.9859262,2.56129020050719
RVH-421,0.199103768293663,0.0,0.734041684,0.9688165,3.42992605212023
SNU-175,0.426268118582295,0.0,0.530689721,0.9758626,1.49872049188748
CAMA-1,0.135762209604464,0.0,0.723494441,0.8584875,4.53571280782813
TE-14,0.0468460509782592,0.0275789544864801,0.65358474,0.9800444,3.55594932534779
CFPAC-1,0.241747890302747,0.0,0.528437516,0.9489644,2.87947928562629
VMRC-RCW,0.38174914640703,0.0,0.364927065,0.8917717,1.73067421529056
Calu-1,0.162092146908105,0.0,0.690359526,0.972334,4.02639134300154
SNU-869,0.145014647766891,0.0,0.734668684,0.9619317,4.3476552263258
SNU-503,0.0398805708856916,0.0034377321241589,1.042187376,0.9321153,6.43729677671998
WM-793,0.327037279136089,0.0,0.497451537,0.8917437,2.08864445883649
PC-14,0.433176788365318,0.001100204821898,0.467367751,0.9850644,1.44544934585255
EKVX,0.0,0.0095430765279894,1.086862943,0.9574553,6.5533928476257
SNU-423,0.242045568724623,0.0058885983170615,0.663808298,0.9827072,2.55972202878231
huH-1,0.13355379846374,0.0064078750566732,0.686707511,0.9825953,3.89019928833617
JHH-6,0.201547678989128,0.0083026153587942,0.581602792,0.9717148,2.84443055625759
